Date,Open,High,Low,Close,Adj Close,Volume
2022-04-25,103.470001,103.930000,103.470001,103.629997,100.993279,8777500
2022-04-26,104.129997,104.129997,103.800003,103.949997,101.305145,8535100
2022-04-27,103.910004,104.010002,103.529999,103.529999,100.895836,11185400
2022-04-28,103.330002,103.510002,103.169998,103.489998,100.856850,10372200
2022-04-29,102.919998,103.269997,102.820000,102.870003,100.252625,9924100
2022-05-02,102.320000,102.360001,102.000000,102.129997,99.706879,12729000
2022-05-03,102.709999,102.790001,102.290001,102.360001,99.931442,12165300
2022-05-04,102.320000,103.050003,102.120003,103.019997,100.575752,14656400
2022-05-05,102.480003,102.519997,101.589996,102.000000,99.579987,17474400
2022-05-06,101.660004,101.949997,101.489998,101.570000,99.160179,8314100
2022-05-09,101.540001,102.099998,101.480003,102.070000,99.648323,8640900
2022-05-10,102.519997,102.720001,102.320000,102.379997,99.950958,18465000
2022-05-11,102.070000,102.790001,101.959999,102.760002,100.321938,16462000
2022-05-12,102.940002,103.139999,102.870003,102.949997,100.507439,9015300
2022-05-13,102.750000,102.779999,102.480003,102.510002,100.077873,6715600
2022-05-16,102.709999,102.970001,102.690002,102.739998,100.302422,7239200
2022-05-17,102.269997,102.430000,102.139999,102.180000,99.755707,6559000
2022-05-18,102.110001,102.639999,102.080002,102.589996,100.155975,6093800
2022-05-19,103.199997,103.220001,102.750000,102.849998,100.409813,10504300
2022-05-20,102.949997,103.209999,102.879997,103.160004,100.712456,6731400
2022-05-23,103.010002,103.199997,102.730003,102.820000,100.380524,8007200
2022-05-24,103.139999,103.739998,103.129997,103.610001,101.151779,10332300
2022-05-25,103.930000,104.070000,103.769997,104.040001,101.571579,7718100
2022-05-26,104.070000,104.190002,103.800003,103.959999,101.493477,5720000
2022-05-27,104.089996,104.309998,104.019997,104.129997,101.659447,5496300
2022-05-31,103.529999,103.639999,103.290001,103.470001,101.015106,10491700
2022-06-01,103.389999,103.529999,102.750000,102.860001,100.600410,8056700
2022-06-02,103.059998,103.089996,102.730003,102.989998,100.727554,7456800
2022-06-03,102.669998,102.910004,102.639999,102.820000,100.561287,6561100
2022-06-06,102.669998,102.769997,102.160004,102.190002,99.945137,5144500
2022-06-07,102.419998,102.760002,102.400002,102.580002,100.326569,5620200
2022-06-08,102.419998,102.559998,102.160004,102.160004,99.915794,4150800
2022-06-09,102.070000,102.220001,101.970001,102.050003,99.808212,5423500
2022-06-10,101.669998,101.720001,101.029999,101.260002,99.035561,7830000
2022-06-13,100.099998,100.349998,99.129997,99.599998,97.412041,9479000
2022-06-14,99.839996,99.940002,98.860001,99.010002,96.835007,10943400
2022-06-15,99.690002,100.160004,99.180000,100.110001,97.910820,10979000
2022-06-16,99.239998,100.360001,99.139999,100.349998,98.145546,9329900
2022-06-17,100.419998,100.570000,99.980003,100.339996,98.135765,9892200
2022-06-21,100.019997,100.260002,99.790001,99.940002,97.744553,9022500
2022-06-22,100.669998,100.930000,100.669998,100.790001,98.575905,9437000
2022-06-23,101.250000,101.760002,101.129997,101.209999,98.986656,7773900
2022-06-24,101.110001,101.470001,101.000000,101.050003,98.830185,7389600
2022-06-27,100.669998,100.949997,100.480003,100.599998,98.390060,8319700
2022-06-28,100.529999,100.660004,100.400002,100.639999,98.429176,6540000
2022-06-29,100.800003,101.239998,100.680000,101.220001,98.996452,7326500
2022-06-30,101.599998,101.959999,101.580002,101.680000,99.446335,7521300
2022-07-01,102.209999,102.790001,102.089996,102.339996,100.275261,7393100
2022-07-05,102.540001,102.699997,102.349998,102.529999,100.461418,6813100
2022-07-06,102.779999,102.800003,101.839996,101.839996,99.785355,6647700
2022-07-07,101.940002,101.980003,101.519997,101.610001,99.560005,8226500
2022-07-08,101.349998,101.449997,101.160004,101.230003,99.187668,5270100
2022-07-11,101.669998,101.919998,101.599998,101.699997,99.648170,5758400
2022-07-12,102.019997,102.190002,101.820000,101.839996,99.785355,6690500
2022-07-13,101.230003,102.239998,101.190002,102.209999,100.147888,6534700
2022-07-14,101.510002,101.980003,101.330002,101.849998,99.795151,6233300
2022-07-15,101.940002,102.349998,101.900002,102.250000,100.187080,8640400
2022-07-18,102.000000,102.029999,101.720001,101.919998,99.863731,6006400
2022-07-19,101.949997,101.989998,101.660004,101.779999,99.726578,5936200
2022-07-20,102.160004,102.169998,101.669998,101.709999,99.657974,6124000
2022-07-21,101.959999,102.580002,101.959999,102.559998,100.490822,5920000
2022-07-22,103.260002,103.599998,103.120003,103.360001,101.274689,7323100
2022-07-25,102.900002,103.089996,102.870003,102.980003,100.902359,3729500
2022-07-26,103.440002,103.510002,102.959999,102.959999,100.882751,6312200
2022-07-27,103.190002,103.639999,103.180000,103.320000,101.235504,5431400
2022-07-28,104.089996,104.209999,103.839996,104.059998,101.960556,6473800
2022-07-29,103.940002,104.400002,103.830002,104.070000,101.970360,7674600
2022-08-01,103.989998,104.309998,103.910004,104.230003,102.323776,7733700
2022-08-02,104.269997,104.349998,103.139999,103.160004,101.273346,6869400
2022-08-03,103.029999,103.639999,102.720001,103.620003,101.724945,6261700
2022-08-04,103.669998,103.889999,103.570000,103.870003,101.970367,5199700
2022-08-05,102.809998,102.830002,102.519997,102.709999,100.831573,4847100
2022-08-08,103.099998,103.290001,103.040001,103.180000,101.292976,3425000
2022-08-09,102.919998,103.050003,102.839996,102.949997,101.067184,3854000
2022-08-10,103.430000,103.680000,103.110001,103.209999,101.322441,7156200
2022-08-11,103.379997,103.629997,102.620003,102.660004,100.782494,8518200
2022-08-12,102.970001,103.120003,102.720001,103.120003,101.234070,3643400
2022-08-15,103.370003,103.449997,103.239998,103.250000,101.361702,3782900
2022-08-16,103.129997,103.129997,102.790001,103.099998,101.214439,4976100
2022-08-17,102.639999,102.739998,102.339996,102.489998,100.615593,7222300
2022-08-18,102.699997,102.930000,102.639999,102.709999,100.831573,4260600
2022-08-19,102.129997,102.129997,101.849998,101.989998,100.124741,4575500
2022-08-22,101.820000,101.889999,101.519997,101.550003,99.692795,7133200
2022-08-23,101.540001,101.970001,101.400002,101.510002,99.653534,7369600
2022-08-24,101.349998,101.400002,101.150002,101.239998,99.388466,6318900
2022-08-25,101.330002,101.870003,101.239998,101.800003,99.938225,8217300
2022-08-26,101.669998,101.849998,101.419998,101.610001,99.751701,5584800
2022-08-29,101.269997,101.279999,101.059998,101.120003,99.270660,7509000
2022-08-30,101.260002,101.449997,100.930000,101.250000,99.398277,6573600
2022-08-31,101.040001,101.230003,100.639999,100.709999,98.868149,6116500
2022-09-01,100.070000,100.150002,99.660004,100.070000,98.439255,8961600
2022-09-02,100.370003,100.669998,100.129997,100.360001,98.724533,5966800
